time,open,high,low,close,Volume
2019-02-25,0.926,0.9382,0.9255,0.937,114068.0
2019-02-26,0.934,0.9351,0.9188,0.9229,140349.0
2019-02-27,0.9278,0.9325,0.9205,0.923,132041.0
2019-02-28,0.923,0.9237,0.9,0.9,150089.0
2019-03-01,0.9061,0.9126,0.9016,0.91,153034.0
2019-03-04,0.915,0.9273,0.915,0.9269,119586.0
2019-03-05,0.922,0.9305,0.9175,0.9175,163684.0
2019-03-06,0.914,0.9189,0.9055,0.918,163768.0
2019-03-07,0.9199,0.9256,0.908,0.908,180793.0
2019-03-08,0.904,0.9066,0.8951,0.899,158087.0
2019-03-11,0.904,0.9124,0.902,0.9118,137706.0
2019-03-12,0.919,0.93,0.9155,0.93,129418.0
2019-03-13,0.9278,0.9336,0.9266,0.927,131532.0
2019-03-14,0.93,0.9304,0.9245,0.926,128306.0
2019-03-15,0.9276,0.928,0.9221,0.927,93781.0
2019-03-18,0.932,0.9375,0.9312,0.9351,71031.0
2019-03-19,0.934,0.9351,0.9248,0.9261,96669.0
2019-03-20,0.922,0.9252,0.9163,0.9252,81860.0
2019-03-21,0.9252,0.9268,0.908,0.908,43787.0
2019-03-22,0.8956000000000001,0.9008,0.891,0.8974,134932.0
2019-03-25,0.882,0.885,0.8737999999999999,0.883,115852.0
2019-03-26,0.8871,0.8886000000000001,0.878,0.88,124485.0
2019-03-27,0.8839,0.8875,0.8817999999999999,0.884,97998.0
2019-03-28,0.8813,0.8859,0.8804,0.8832000000000001,90089.0
2019-03-29,0.8879,0.8911,0.884,0.884,103474.0
2019-04-01,0.8907999999999999,0.8907999999999999,0.887,0.89,64539.0
2019-04-02,0.8951,0.896,0.8851,0.8851,84449.0
2019-04-03,0.8869,0.888,0.8825,0.888,89475.0
2019-04-04,0.887,0.8896000000000001,0.8844,0.888,96497.0
2019-04-05,0.8889,0.889,0.8866,0.888,60717.0
2019-04-08,0.8885,0.8947999999999999,0.8882000000000001,0.8947999999999999,71697.0
2019-04-09,0.8955,0.8962,0.8857999999999999,0.887,102480.0
2019-04-10,0.8829,0.8862000000000001,0.8811,0.8852000000000001,100449.0
2019-04-11,0.885,0.8855,0.8811,0.8831,84577.0
2019-04-12,0.8832000000000001,0.8855,0.8819,0.885,60016.0
2019-04-16,0.8817999999999999,0.8854,0.879,0.8854,70041.0
2019-04-17,0.885,0.8865,0.8821,0.883,61812.0
2019-04-18,0.882,0.8832000000000001,0.877,0.877,38596.0
2019-04-19,0.8676,0.8684,0.8655,0.8662000000000001,55777.0
2019-04-22,0.8651,0.8656,0.8599,0.8619,70407.0
2019-04-23,0.8611,0.8679,0.8611,0.8655,84389.0
2019-04-24,0.8685,0.8734,0.8679,0.8727999999999999,80829.0
2019-04-25,0.8721,0.8729,0.867,0.8686,76615.0
2019-04-26,0.8681,0.877,0.8679,0.877,101989.0
2019-05-02,0.8794,0.8795,0.8747,0.8776,63394.0
2019-05-03,0.8752000000000001,0.88,0.8751,0.88,78071.0
2019-05-06,0.8709,0.871,0.8642000000000001,0.8666,85333.0
2019-05-07,0.871,0.8744,0.8677,0.8737,108009.0
2019-05-08,0.867,0.8746,0.867,0.8733,91122.0
2019-05-09,0.873,0.8753,0.871,0.871,79617.0
2019-05-10,0.877,0.8773,0.8717999999999999,0.8767,78281.0
2019-05-13,0.8764,0.8789,0.8761,0.8773,41338.0
2019-05-14,0.8759,0.883,0.8745,0.883,43050.0
2019-05-15,0.8839,0.893,0.8836,0.8921,38094.0
2019-05-16,0.8935,0.896,0.89,0.89,33074.0
2019-05-17,0.8937,0.895,0.8912,0.8926000000000001,66549.0
2019-05-20,0.8937999999999999,0.9095,0.8935,0.9089,98830.0
2019-05-21,0.912,0.9142,0.9066,0.9106,102021.0
2019-05-22,0.9117,0.9128,0.9063,0.9082,90296.0
2019-05-23,0.9058,0.9086,0.9037,0.9079,82873.0
