time,open,high,low,close,Volume
2021-04-09,1244.8,1253.9,1238.5,1251.9,113707
2021-04-12,1260,1281.9,1257.1,1274.6,123106
2021-04-13,1280.2,1296.1,1267,1271,190747
2021-04-14,1268,1293,1265.5,1292,177208
2021-04-15,1294.8,1298.9,1282.5,1283.9,154811
2021-04-16,1283.5,1285.5,1256.1,1273.5,204021
2021-04-19,1276,1312,1271.6,1312,185665
2021-04-20,1316,1334,1282.1,1300,280266
2021-04-22,1301,1312.8,1261.2,1261.2,247552
2021-04-23,1260.9,1296.7,1249.1,1296.7,272343
2021-04-26,1297,1306.4,1249.7,1254,265871
2021-04-27,1253,1277.8,1253,1265,253877
2021-04-28,1268,1288.7,1261,1275,222974
2021-04-29,1285,1305,1282.2,1301,193860
2021-05-04,1278,1327.1,1273.2,1320,193972
2021-05-05,1323.2,1352.7,1320.1,1335.9,224033
2021-05-06,1340.6,1343.9,1327.1,1336.5,253034
2021-05-07,1336.2,1339.8,1314,1323.8,209572
2021-05-10,1323.2,1375,1322.8,1375,189654
2021-05-11,1373.5,1385,1348.3,1350.1,274860
2021-05-12,1347.5,1384,1338.4,1382.1,302367
2021-05-13,1376,1383.7,1360.1,1363.9,273637
2021-05-14,1372.2,1391.7,1369,1374,248354
2021-05-17,1382.1,1388.3,1365,1367,189026
2021-05-18,1371.9,1379.6,1360.6,1375,212394
2021-05-19,1373.3,1407.4,1373.1,1404.9,181066
2021-05-20,1407.1,1425,1397.1,1425,149062
2021-05-21,1412.4,1423,1406.4,1414,194846
2021-05-24,1415,1428.5,1414.2,1426,166655
2021-05-25,1427,1443.3,1423.5,1438,143103
2021-05-26,1439,1453,1436.7,1453,169576
2021-05-27,1453,1456,1430,1430,173927
2021-05-28,1434.2,1464.8,1433.6,1462.5,176803
2021-05-31,1459.9,1480.8,1443,1479.5,211791
2021-06-01,1485,1497.4,1475.7,1487.6,166167
2021-06-02,1487.5,1494.4,1468,1481.8,212421
2021-06-03,1486.5,1507.5,1483.1,1504,181274
2021-06-04,1504.6,1510.9,1495.5,1505.9,185937
2021-06-07,1507,1509.2,1473,1485,195761
2021-06-08,1488.1,1498.4,1400,1429.9,266105
2021-06-09,1439.9,1473.8,1426,1459,301935
2021-06-10,1460.9,1470,1438,1453,344106
2021-06-11,1458.9,1494.9,1456.2,1493.2,231157
2021-06-14,1494.2,1509.3,1485.2,1497.5,202777
2021-06-15,1498.1,1505.8,1486.1,1491,244831
2021-06-16,1490.7,1494.3,1461.5,1468.9,252886
2021-06-17,1462,1472.8,1452,1463.9,179293
2021-06-18,1470,1491.7,1469,1485,212425
2021-06-21,1476,1487,1471,1474.1,199586
2021-06-22,1484.8,1500.9,1483.2,1490.4,151809
2021-06-23,1492.5,1504.1,1484,1490.4,207102
2021-06-24,1497.6,1503,1478,1488,205558
2021-06-25,1496.5,1505,1484,1505,187228
2021-06-28,1509.1,1525.5,1507.5,1523.8,146579
2021-06-29,1524.1,1535.4,1522.3,1533.9,167492
2021-06-30,1534.1,1542.9,1528,1529.2,166164
2021-07-01,1532,1549,1525.5,1549,192481
2021-07-02,1551,1558,1547,1556.1,181560
2021-07-05,1560,1568,1533.4,1568,220816
2021-07-06,1566,1569.3,1501,1501,209651
2021-07-07,1515,1536.9,1492,1535,293790
2021-07-08,1532.5,1538,1500,1513,304982
2021-07-09,1509,1530,1480,1497,304132
2021-07-12,1503,1503.8,1401,1443.9,398800
2021-07-13,1442,1458.8,1416,1446.9,355237
2021-07-14,1448.5,1451,1395.3,1409,321671
2021-07-15,1410.8,1440.1,1403,1431.8,246696
2021-07-16,1435.1,1449,1434.2,1440,252074
2021-07-19,1414.8,1415,1366.6,1368,308084
2021-07-20,1374,1409.4,1358.1,1405,358331
2021-07-21,1411,1417.7,1395,1402,266534
2021-07-22,1404.6,1437,1402,1427.1,243782
2021-07-23,1424.8,1430.5,1401,1401,339320
2021-07-26,1399.9,1417,1383,1408.1,314541
2021-07-27,1413,1426,1405.1,1405.3,295627
2021-07-28,1405.1,1418,1400,1407.8,315029
2021-07-29,1416,1431.1,1414,1431.1,266397
2021-07-30,1430.6,1446.6,1427.2,1445,235586
2021-08-02,1446.6,1458.1,1442.3,1447.9,216811
2021-08-03,1449.7,1475,1447.1,1475,308827
2021-08-04,1473,1481,1461.6,1470.9,253070
2021-08-05,1468,1491.4,1466.1,1487.1,249598
2021-08-06,1487.3,1491.2,1471.5,1472.9,216366
2021-08-09,1469.9,1503.5,1468,1500.5,198106
2021-08-10,1501.2,1507.5,1485.5,1494.1,274461
2021-08-11,1496,1505.5,1486,1486,244986
2021-08-12,1486.9,1493,1472.4,1477.1,274294
2021-08-13,1480,1485,1463.3,1485,271182
2021-08-16,1485.2,1504.1,1485.2,1503,171376
2021-08-17,1507.8,1508.5,1487.5,1493,211704
2021-08-18,1495,1505.2,1485.1,1490.9,233286
2021-08-19,1493,1502.9,1484.3,1500,182275
2021-08-20,1492.8,1493.2,1425,1445,291240
2021-08-23,1444.4,1447.7,1408.1,1411.2,355898
2021-08-24,1415,1427.7,1407,1415.1,320767
2021-08-25,1417.8,1432,1410,1431.5,278294
2021-08-26,1430.4,1432,1402.1,1406.7,243290
2021-08-27,1409.5,1422.9,1390,1420,354844
2021-08-30,1423,1435.3,1422.5,1432.9,196331
2021-08-31,1433.1,1434.5,1421,1427,192383
2021-09-01,1427.1,1435,1422.6,1428.6,212896
2021-09-06,1433.8,1445,1431,1444.6,148530
2021-09-07,1445.2,1449.8,1436,1441,170759
2021-09-08,1441.7,1442,1427.6,1431.1,192479
2021-09-09,1430.7,1446,1429.8,1446,159355
2021-09-10,1447.2,1453.3,1442.3,1447.1,153049
2021-09-13,1445.3,1448.8,1437.1,1442,136105
2021-09-14,1441,1445.2,1434.5,1436.5,134355
2021-09-15,1437.5,1451,1434.8,1447.5,134646
2021-09-16,1447.9,1453.8,1445.7,1449.8,106700
2021-09-17,1444.3,1457.8,1443.3,1456.8,134748
2021-09-20,1460,1467,1452,1452,144551
2021-09-21,1446,1447.4,1425.4,1440,228417
2021-09-22,1441.4,1443.9,1433.6,1440.8,161234
2021-09-23,1447.8,1455.5,1445.5,1450,143800
2021-09-24,1454.6,1456,1446.1,1449.9,142418
2021-09-27,1452.3,1454.4,1434,1434,132944
2021-09-28,1430,1454.4,1429.5,1454.4,163465
2021-09-29,1449.1,1452.5,1433.4,1449.2,236111
2021-09-30,1451,1458.5,1448,1452,183857
2021-10-01,1441,1446.5,1436,1441,180114
2021-10-04,1441,1444.8,1434,1440.3,137078
2021-10-05,1437.9,1449.8,1437.6,1449,117088
2021-10-06,1451.2,1453.5,1447.1,1452,105801
2021-10-07,1457.4,1459.5,1452.8,1454.8,94624
2021-10-08,1458,1477,1457.4,1474.5,118668
2021-10-11,1475.5,1514.8,1475.5,1513.5,132442
2021-10-12,1513.5,1514,1499.5,1510,161659
2021-10-13,1513,1522.6,1502.1,1503.1,175902
2021-10-14,1508.5,1514.9,1500,1505.9,179589
2021-10-15,1510,1516.7,1500.3,1504.5,148017
2021-10-18,1505.1,1522,1505.1,1510.5,148905
2021-10-19,1511.1,1513.5,1503.1,1510.6,151954
2021-10-20,1513,1517.5,1451,1504,166752
2021-10-21,1507.2,1509.5,1489,1489,135082
2021-10-22,1495.2,1496.9,1485.3,1492,119964
2021-10-25,1495,1495,1478,1478,132334
2021-10-26,1477,1489.1,1468.2,1489,151082
2021-10-27,1488.3,1526.5,1487.5,1523.3,157322
2021-10-28,1523.3,1535.9,1517.2,1532.3,150253
2021-10-29,1532,1540,1526.5,1533.7,151803
2021-11-01,1535,1535.7,1518.1,1522.7,124238
2021-11-02,1522,1528.7,1518.6,1524.1,120853
2021-11-03,1524.4,1538.3,1520.1,1528.5,174162
2021-11-04,1530.5,1535.2,1523.1,1529.8,142712
2021-11-05,1529.3,1539.6,1526.5,1535.1,99948
2021-11-08,1537.6,1545.5,1533.6,1537.7,112026
2021-11-09,1538,1539,1520.5,1525.5,131279
2021-11-10,1525,1534.9,1518.6,1529.3,114035
2021-11-11,1527.6,1530,1506,1513,184754
2021-11-12,1514.6,1532,1505.1,1530.7,149193
2021-11-15,1533,1536.6,1521.4,1527.8,118479
2021-11-16,1527.8,1529.5,1514.6,1517.3,153589
2021-11-17,1516.1,1523.3,1514.2,1520.4,104400
2021-11-18,1521.9,1522.3,1504.1,1504.1,99965
2021-11-19,1505.8,1523.2,1488,1502.5,159956
2021-11-22,1503.6,1521.9,1498.4,1512.5,151792
2021-11-23,1512.6,1528.9,1509,1528.9,109728
2021-11-24,1533.5,1565,1529.6,1562.1,150549
2021-11-25,1564.5,1575,1561.5,1566.6,124797
2021-11-26,1564.6,1577,1553,1556.7,144438
2021-11-29,1548,1552,1536.2,1551.9,154630
2021-11-30,1556,1563.7,1533.3,1537.1,169222
2021-12-01,1536.9,1553.9,1530.3,1553.9,164930
2021-12-02,1549.9,1554.4,1539.6,1540,137071
2021-12-03,1545,1547.9,1509,1509,155487
2021-12-06,1508.1,1513.5,1466.1,1480.2,202912
2021-12-07,1490,1512,1487,1512,166399
2021-12-08,1515.7,1518.4,1508,1511,152650
2021-12-09,1512.8,1533,1510,1532,128284
2021-12-10,1531,1532.5,1512.5,1520.5,164139
2021-12-13,1526.9,1527.4,1516.1,1525.9,119311
2021-12-14,1523.9,1530,1513.2,1518.5,149559
2021-12-15,1518.5,1527.5,1514.1,1520.1,125529
2021-12-16,1525.5,1527,1460.2,1510,124612
