Ticker,Sector_Classification,Sector_ETF
WFC,Financial,XLF
WELL,Real Estate,IYR
WST,Healthcare,XLV
WDC,Technology,XLK
WY,Real Estate,IYR
WSM,Retail,RTH
WMB,Energy,XLE
WTW,Financial,XLF
WDAY,Technology,XLK
WYNN,Consumer discretionary,XLY
XEL,Utility,UTH
XYL,Industrial,XLI
YUM,Consumer discretionary,XLY
